company_id,cat_id,catName,style_id,StyleName,prod_id,kind,color,Description,weight,size,Qty,Qty_sold,price_MGL,unitprice_Cnd,TransportCostUnit,sellsPrice,barCode,sex,sellDesc,barCodePrint,print_bar,workField,extra
102,0401,Hat,102-1W-040113,Hat-zagvar-hormootoi,110-0122-041,cashmere,gray,Hat,65,F,1,,98910,38.17445002,5.962850644,159.99,102-1W-040113-03F,female,hos,102040113,102-1W-040113-03F,121W04011303F,
102,0401,Hat,102-1M-040103,Hat-strip,110-1122-047,cashmere,brown,Hat,55,F,3,1,59310,22.89077576,5.045489007,99.99,102-1M-040103-05F,male,1 burtgev+ 1bej+1saaral,102040103,102-1M-040103-05F,121M04010305F,
102,0401,Hat,102-1U-040106,Hat-bennie-2 sided written cashmere,110-1122-049,Cashmere,maroon,Hat,45,F,1,,42210,16.29100733,4.128127369,76.79,102-1U-040106-17F,unisex,1bn,102040106,102-1U-040106-17F,121U04010617F,
102,0401,Hat,102-3U-040108,Hat-strip-yak,110-1322-047,yak,blue-nomin,Hat,85,F,1,,44010,16.9857198,7.79757392,99.99,102-3U-040108-08F,unisex,1,102040108,102-3U-040108-08F,123U04010808F,
102,0401,Hat,102-1U-040110,Hat-child-colored-emjeertei,110-3121-034,cashmere,black,Hat,35,F,1,,68310,26.36433809,3.210765732,99.99,102-1U-040110-01F,unisex,hos,102040110,102-1U-040110-01F,121U04011001F,
102,0401,Hat,102-1W-040111,Hat-chiktei,110-4120-101,cashmere,gray,Hat,55,F,1,,55710,21.50135083,5.045489007,89.99,102-1W-040111-03F,female,1,102040111,102-1W-040111-03F,121W04011103F,
102,0402,Cloves,102-1W-040202,Cloves-fingerless short,119-0119-015,cashmere,different Colors,Gloves,15,F,17,2,23310,8.996526438,1.376042456,29.99,102-1W-040202-11F,female,1-VI/20;1-VI/25,102040202,102-1W-040202-11F,121W04020211F,
102,0402,Cloves,102-1W-040203,Cloves-wrist pattern,119-0120-001,cashmere,gray,Gloves,40,F,1,,37710,14.55422617,3.66944655,59.99,102-1W-040203-03F,female,1bn,102040203,102-1W-040203-03F,121W04020303F,
102,0402,Cloves,102-1W-040201,Cloves-NY,119-0120-039,cashmere,white,Gloves,50,F,10,3,58410,22.54341953,4.586808188,69,102-1W-040201-06F,female,sold 1-IX/29;1-X/12;X/22,102040201,102-1W-040201-06F,121W04020106F,
102,0404,Scarf,102-1W-040402,Scarf-cable,120-0119-006,cashmere,blue-dark,Scarf,175,F,2,,184410,71.17329217,16.05382866,299.99,102-1W-040402-16F,female,1 burtgev=1 gray,102040402,102-1W-040402-16F,121W04040216F,
102,0404,Scarf,102-1W-040404,Scarf-2 sided color,120-0119-018,cashmere,Red,Scarf,110,F,1,,100710,38.86916249,10.09097801,169.99,102-1W-040404-19F,female,,102040404,102-1W-040404-19F,121W04040419F,
102,0404,Scarf,102-1W-040403,Scarf-uzuurt overlog,120-0119-021,cashmere,green,Scarf,50,F,1,,50310,19.41721343,4.586808188,89.99,102-1W-040403-09F,female,hos,102040403,102-1W-040403-09F,121W04040309F,
102,0404,Scarf,102-1W-040402,Scarf-cable,120-0121-061,cashmere,gray,Scarf,110,F,1,,142110,54.84754921,10.09097801,229.99,102-1W-040402-03F,female,hos,102040402,102-1W-040402-03F,121W04040203F,
102,0404,Scarf,102-1W-040414,Scarf-uzuurtei suvd,120-0122-019,cashmere,gray,Scarf,100,F,1,,132210,51.02663064,9.173616376,219.99,102-1W-040414-03F,female,,102040414,102-1W-040414-03F,121W04041403F,
102,0405,Neck warmer,102-1U-040507,Neck warmer- with strip,120-1121-038,cashmere,blue-dark,Scarf,55,F,1,,74610,28.79583173,5.045489007,119.99,102-1U-040507-16F,unisex,1bn,102040507,102-1U-040507-16F,121U04050716F,
102,0404,Scarf,102-1M-040401,Scarf-Strip,120-1122-023,cashmere,brown,Scarf,140,F,1,,179910,69.436511,12.84306293,289.99,102-1M-040401-05F,male,er hos,102040401,102-1M-040401-05F,121M04040105F,
