company_id,cat_id,catName,kind,color,StyleName,Description,weight,size,sex,price_MGL,unitprice_Cnd,sellsPrice,Qty
102,0401,Hat,cashmere,blue,Hat-Beret cable,Hat,0,F,female,,24.07,$87.00,1
102,0401,Hat,cashmere,Red,Hat- cable binne,Hat,0,F,female,,24.87,$99.99,4
102,0401,Hat,cashmere,bej,Hat- cable binne,Hat,0,F,female,,24.87,$99.99,4
102,0401,Hat,cashmere,bej,Hat-urt chick,Hat,0,F,female,,53,$159.99,1
102,0401,Hat,cashmere,blue-dark,Hat-zagvar-hormootoi,Hat,0,F,female,,30.9,$129.99,2
102,0401,Hat,cashmere,black,Hat-zagvar-hormootoi,Hat,0,F,female,,30.9,$129.99,2
102,0401,Hat,cashmere,blue,Hat-bennie-uzuurtee saatai,Hat,0,F,female,,23.67,$99.99,3
102,0401,Hat,cashmere,yellow,Hat-bennie-2 sided written cashmere,Hat,0,F,unisex,,18.85,$76.79,2
102,0101,Cardigan,cashmere,blue-nomin,Cardigan with hoodie,Cardigan with hood,0,L,unisex,,193.65,$426.00,1
102,0301,Coat,cashmere,black,Coat with zip,Coat,0,XL,female,,502.27,"$1,099.99",1
102,0301,Coat,cashmere,gray,Coat-reglan shoulder cable,Coat,0,M,female,,381.71,$840.00,1
102,0301,Coat,cashmere,different Colors,Coat pattern with belt,Coat,0,M,female,,284.07,$625.00,1
102,0304,Jacket,cashmere,blue-nomin,Jacket-melange sarsgar uzuurtei,Jacket,0,S,female,,502.27,"$1,105.00",1
102,0304,Jacket,yak,brown,Jacket-melange-2 color sided hem/zah/,Jacket,0,M,unisex,,305.36,$672.00,1
102,0201,pants,cashmere,black,pants-sweat,Pants,0,L,unisex,,156.68,$344.99,1
102,0201,pants,cashmere,black,pants-sweat,Pants,0,M,unisex,,140.61,$308.99,1
102,0201,pants,wool,blue,tripezoid,Pants,0,L,female,,141.01,$309.99,1
102,0201,pants,wool,gray,straight,Pants,0,L,female,,141.01,$309.99,1
102,0201,pants,cashmere,blue-dark,pants-straight,Pants,0,L,female,,141.01,$309.99,1
102,0201,pants,cashmere,gray,pants-cable in knee,Pants,0,M,unisex,,128.55,$282.99,1
102,0201,pants,cashmere,bej,pants-pattern in Side,Pants,0,L,female,,112.48,$247.00,1
102,0203,shorts,cashmere,blue,shorts-woman,Pants,0,M,female,,76.31,$167.99,1
102,0201,pants,cashmere,black,pants- pattern belt/hos,Pants,0,M,female,,180.79,$398.00,1
102,0201,pants,cashmere,black,pants-legging with morlon,Pants,0,L,female,,156.68,$344.99,1
102,0201,pants,yak,brown,pants-tripizoid,Pants,0,S,female,,116.49,$255.99,1
102,0201,pants,yak,brown,pants-legging side cable,Pants,0,L,female,,76.31,$167.99,1
102,0201,pants,cashmere,brown,pants-track,Pants,0,L,unisex,,160.7,$354.00,1
102,0201,pants,cashmere,gray,pants-cable in knee,Pants,0,M,unisex,,153.46,$338.00,1
102,0201,pants,cashmere,blue-nomin,pants-sweat,Pants,0,L,unisex,,125.74,$277.00,1
102,0202,skirts,cashmere,gray,skirts-straight,Skirt,0,XL,female,,116.49,$256.00,1
102,0202,skirts,cashmere,blue-dark,skirts-straight,Skirt,0,M,female,,116.5,$256.00,1
102,0202,skirts,cashmere,Crepe,skirts -in front split,Skirt,0,XL,female,,116.5,$200.00,1
102,0202,skirts,cashmere,pink,skirts-added square side,Skirt,0,M,female,,216.55,$476.00,1
102,0202,skirts,cashmere,different Colors,skirts-front desing,Skirt,0,M,female,,220.97,$486.00,1
102,0306,Poncho,cashmere,bej,Poncho-hormoi round with buttons,Poncho,0,F,female,,237.05,$459.99,1
102,0306,Poncho,Cashmere,maroon,Poncho-hormoi round with buttons,Poncho,0,F,female,,237.05,$489.99,1
102,0306,Poncho,Cashmere,bej,Poncho-square with tassel,Poncho,0,F,female,,132.97,$299.99,4
102,0306,Poncho,Cashmere,gray,Poncho-square with tassel,Poncho,0,F,female,,132.97,$299.99,1
102,0306,Poncho,Cashmere,gray-dark,Poncho-square different color in the edge,Poncho,0,F,female,,132.97,$299.99,1
102,0306,Poncho,Cashmere,blue-dark,Poncho-square different color in the edge,Poncho,0,F,female,,132.97,$299.99,2
102,0306,Poncho,Cashmere,black,Poncho-square with tassel,Poncho,0,F,female,,132.97,$299.99,1
